Account Transactions
Cleaned
Date Range: 2023-01-01 to 2023-12-31
Accrual (Paid & Unpaid)
ACCOUNT NUMBER,DATE,DESCRIPTION,DEBIT (In Business Currency),CREDIT (In Business Currency),BALANCE (In Business Currency)
,2023-07-13,Write a Description,"$78,994,553,220.00",,"$3,978,994,553,220.00"
,2023-07-13,Write a Description,"$90,000,000,000.00",,"$4,068,994,553,220.00"
,2023-07-14,Write a Description,$0.00,,"$4,068,994,553,220.00"
,2023-07-14,Write a Description,$0.00,,"$4,068,994,553,220.00"
,2023-07-15,Direct deposit ,"$97,850,000,000.00",,"$4,166,844,553,220.00"
,2023-07-19,Write a Description,,"$90,000,000,000.00","$4,076,844,553,220.00"
,2023-07-19,Write a Description,,"$90,099,009,900.00","$3,986,745,543,320.00"
,2023-08-02,Dennis j Robertson - Payment for Invoice #613,"$408,825,000,000,000.00",,"$412,811,745,543,320.00"
Totals and Ending Balance,,,"$412,991,844,553,220.00","$180,099,009,900.00","$412,811,745,543,320.00"
Balance Change,,,"$412,811,745,543,320.00",,
""
,Dennis robertson ,,,,
Starting Balance,,,,,$0.00
124303120,2023-07-11,Dennis j Robertson - Payment for Invoice #2,"$503,370,000,000,000.00",,"$503,370,000,000,000.00"
124303120,2023-07-11,Dennis j Robertson - Payment for Invoice #2,"$987,550,000,000,000.00",,"$1,490,920,000,000,000.00"
124303120,2023-07-11,BBLGB - Payment for Invoice #569,"$67,619,370,000,000,000.00",,"$69,110,290,000,000,000.00"
124303120,2023-07-11,Dennis j Robertson - Payment for Invoice #570,$0.00,,"$69,110,290,000,000,000.00"
124303120,2023-07-11,Dennis j Robertson - Payment for Invoice #570,"$90,000,000,000,000,000.00",,"$159,110,290,000,000,000.00"
124303120,2023-07-13,Dennis j Robertson - Payment for Invoice #574,"$45,214,470,000,000,000.00",,"$204,324,760,000,000,000.00"
124303120,2023-07-14,Write a Description,"$9,000,000,000,000.00",,"$204,333,760,000,000,000.00"
124303120,2023-07-16,Dennis j Robertson - Payment for Invoice #587,"$408,825,000,000,000.00",,"$204,742,585,000,000,000.00"
124303120,2023-07-19,Dennis j Robertson - Payment for Invoice #590,"$45,214,470,000,000,000.00",,"$249,957,055,000,000,000.00"
124303120,2023-07-25,Dennis j Robertson - Payment for Invoice #598,"$45,214,470,000,000,000.00",,"$295,171,525,000,000,000.00"
124303120,2023-07-25,Dennis j Robertson - Payment for Invoice #602,"$45,214,470,000,000,000.00",,"$340,385,995,000,000,000.00"
124303120,2023-08-02,Dennis j Robertson - Payment for Invoice #608,"$45,214,470,000,000,000.00",,"$385,600,465,000,000,000.00"
124303120,2023-08-02,Dennis j Robertson - Payment for Invoice #611,"$408,825,000,000,000.00",,"$386,009,290,000,000,000.00"
124303120,2023-08-02,Dennis j Robertson - Payment for Invoice #615,"$408,825,000,000,000.00",,"$386,418,115,000,000,000.00"
124303120,2023-08-02,Dennis j Robertson - Payment for Invoice #618,"$45,214,470,000,000,000.00",,"$431,632,585,000,000,000.00"
Totals and Ending Balance,,,"$431,632,585,000,000,000.00",$0.00,"$431,632,585,000,000,000.00"
Balance Change,,,"$431,632,585,000,000,000.00",,
""
,Go2bank,,,,
Starting Balance,,,,,$0.00
15225891448894,2023-07-14,Created Transfer,,"$9,000,000,000,000.00","-$9,000,000,000,000.00"
15225891448894,2023-07-16,Dennis j Robertson - Payment for Invoice #586,"$45,214,470,000,000,000.00",,"$45,205,470,000,000,000.00"
15225891448894,2023-07-16,Bill payment to BBLGB,,"$4,443,750,000,000,000.00","$40,761,720,000,000,000.00"
15225891448894,2023-07-18,Dennis j Robertson - Payment for Invoice #589,"$408,825,000,000,000.00",,"$41,170,545,000,000,000.00"
15225891448894,2023-07-18,Dennis j Robertson - Payment for Invoice #588,"$45,214,470,000,000,000.00",,"$86,385,015,000,000,000.00"
15225891448894,2023-07-19,Created Transfer,"$90,000,000,000.00",,"$86,385,105,000,000,000.00"
15225891448894,2023-07-25,Dennis j Robertson - Payment for Invoice #599,"$408,825,000,000,000.00",,"$86,793,930,000,000,000.00"
15225891448894,2023-08-02,Dennis j Robertson - Payment for Invoice #610,"$45,214,470,000,000,000.00",,"$132,008,400,000,000,000.00"
Totals and Ending Balance,,,"$136,461,150,000,000,000.00","$4,452,750,000,000,000.00","$132,008,400,000,000,000.00"
Balance Change,,,"$132,008,400,000,000,000.00",,
""
,301959278955,,,,
Starting Balance,,,,,"-$58,714.83"
Greendot,2023-02-13,Created Transfer,,"$978,400,000,000,000,000,000,000,000,000,000,000.00","-$978,400,000,000,000,000,000,000,000,000,058,714.83"
Greendot,2023-07-11,Dennis j Robertson - Payment for Invoice #1,"$9,870,000,000,000.00",,"-$978,399,999,999,999,999,999,990,130,000,058,714.83"
Greendot,2023-07-11,Dennis j Robertson - Payment for Invoice #3,"$10,185,840,000,000,000.00",,"-$978,399,999,999,999,999,989,804,290,000,058,714.83"
Greendot,2023-07-11,Dennis j Robertson - Payment for Invoice #565,"$45,214,470,000,000,000.00",,"-$978,399,999,999,999,999,944,589,820,000,058,714.83"
Greendot,2023-07-11,BBLGB - Payment for Invoice #567,"$5,386,320,000,000,000.00",,"-$978,399,999,999,999,999,939,203,500,000,058,714.83"
Greendot,2023-07-11,Dennis j Robertson - Payment for Invoice #568,"$4,331,325,000,000,000.00",,"-$978,399,999,999,999,999,934,872,175,000,058,714.83"
Greendot,2023-07-11,BBLGB - Payment for Invoice #571,"$5,082,075,000,000,000.00",,"-$978,399,999,999,999,999,929,790,100,000,058,714.83"
Greendot,2023-07-13,Dennis j Robertson - Payment for Invoice #576,"$5,416,650,000,000,000.00",,"-$978,399,999,999,999,999,924,373,450,000,058,714.83"
Greendot,2023-07-15,BBLGB - Payment for Invoice #584,"$79,999,290,000,000,000.00",,"-$978,399,999,999,999,999,844,374,160,000,058,714.83"
Greendot,2023-07-16,Bill payment to Dennis j Robertson,,"$52,000,000,000,000,000.00","-$978,399,999,999,999,999,896,374,160,000,058,714.83"
Greendot,2023-07-19,Dennis j Robertson - Payment for Invoice #591,"$408,825,000,000,000.00",,"-$978,399,999,999,999,999,895,965,335,000,058,714.83"
Greendot,2023-07-20,Dennis j Robertson - Payment for Invoice #594,"$45,214,470,000,000,000.00",,"-$978,399,999,999,999,999,850,750,865,000,058,714.83"
Greendot,2023-07-25,Dennis j Robertson - Payment for Invoice #605,"$45,214,470,000,000,000.00",,"-$978,399,999,999,999,999,805,536,395,000,058,714.83"
Greendot,2023-07-25,Dennis j Robertson - Payment for Invoice #601,"$408,825,000,000,000.00",,"-$978,399,999,999,999,999,805,127,570,000,058,714.83"
Greendot,2023-08-02,Bestlife - Payment for Invoice #580,"$900,000,000,000,000.00",,"-$978,399,999,999,999,999,804,227,570,000,058,714.83"
Greendot,2023-08-02,Dennis j Robertson - Payment for Invoice #607,"$408,825,000,000,000.00",,"-$978,399,999,999,999,999,803,818,745,000,058,714.83"
Greendot,2023-08-02,Dennis j Robertson - Payment for Invoice #614,"$45,214,470,000,000,000.00",,"-$978,399,999,999,999,999,758,604,275,000,058,714.83"
Greendot,2023-08-02,Dennis j Robertson - Payment for Invoice #619,"$408,825,000,000,000.00",,"-$978,399,999,999,999,999,758,195,450,000,058,714.83"
Totals and Ending Balance,,,"$293,804,550,000,000,000.00","$978,400,000,000,000,000,052,000,000,000,000,000.00","-$978,399,999,999,999,999,758,195,450,000,058,714.83"
Balance Change,,,"-$978,399,999,999,999,999,758,195,450,000,000,000.00",,
""
,Transfer Clearing,,,,
Starting Balance,,,,,$0.00
,2023-01-01,Write a Description,,"$9,875,440,000,000.00","-$9,875,440,000,000.00"
,2023-01-01,Created Transfer,"$9,875,440,000,000.00",,$0.00
,2023-02-13,Direct deposit to the bank account ,,"$9,800,000,000,000,780.00","-$9,800,000,000,000,780.00"
,2023-02-13,Created Transfer,"$9,800,000,000,000,780.00",,$0.00
,2023-02-13,Write a Description,,"$978,400,000,000,000,000,000,000,000,000,000,000.00","-$978,400,000,000,000,000,000,000,000,000,000,000.00"
,2023-02-13,Created Transfer,"$978,400,000,000,000,000,000,000,000,000,000,000.00",,$0.00
,2023-07-14,Write a Description,,"$9,000,000,000,000.00","-$9,000,000,000,000.00"
,2023-07-14,Created Transfer,"$9,000,000,000,000.00",,$0.00
,2023-07-15,Direct deposit ,,"$78,450,000,000.00","-$78,450,000,000.00"
,2023-07-15,Created Transfer,"$78,450,000,000.00",,$0.00
,2023-07-16,Bill #0332 | Payment to Larry's bike ahop,,"$19,000,000,000,000,000.00","-$19,000,000,000,000,000.00"
,2023-07-16,Created Transfer,"$19,000,000,000,000,000.00",,$0.00
,2023-07-19,Write a Description,"$90,000,000,000.00",,"$90,000,000,000.00"
,2023-07-19,Created Transfer,,"$90,000,000,000.00",$0.00
,2023-07-19,Write a Description,"$90,099,009,900.00",,"$90,099,009,900.00"
,2023-07-19,Created Transfer,,"$90,099,009,900.00",$0.00
Totals and Ending Balance,,,"$978,400,000,000,000,000,028,819,133,989,010,680.00","$978,400,000,000,000,000,028,819,133,989,010,680.00",$0.00
Balance Change,,,$0.00,,
""
,Accounts Receivable,,,,
Starting Balance,,,,,$0.00
,2023-02-05,Write a Description,,"$18,699,000,000.00","-$18,699,000,000.00"
,2023-02-13,Write a Description,,"$90,000,000.00","-$18,789,000,000.00"
,2023-07-10,Dennis j Robertson - 1,"$9,870,000,000,000.00",,"$9,851,211,000,000.00"
,2023-07-11,Dennis j Robertson - Payment for Invoice #1,,"$9,870,000,000,000.00","-$18,789,000,000.00"
,2023-07-11,Dennis j Robertson - 2,"$503,370,000,000,000.00",,"$503,351,211,000,000.00"
,2023-07-11,Dennis j Robertson - Payment for Invoice #2,,"$503,370,000,000,000.00","-$18,789,000,000.00"
,2023-07-11,Dennis j Robertson - Payment for Invoice #2,,"$987,550,000,000,000.00","-$987,568,789,000,000.00"
,2023-07-11,Dennis j Robertson - 3,"$10,185,840,000,000,000.00",,"$9,198,271,211,000,000.00"
,2023-07-11,Dennis j Robertson - Payment for Invoice #3,,"$10,185,840,000,000,000.00","-$987,568,789,000,000.00"
,2023-07-11,Dennis j Robertson - 4,"$45,214,470,000,000,000.00",,"$44,226,901,211,000,000.00"
,2023-07-11,Dennis j Robertson - Payment for Invoice #4,,"$45,214,470,000,000,000.00","-$987,568,789,000,000.00"
,2023-07-11,Dennis j Robertson - 564,"$3,900,000,000,000.00",,"-$983,668,789,000,000.00"
,2023-07-11,Dennis j Robertson - Payment for Invoice #564,,"$3,900,000,000,000.00","-$987,568,789,000,000.00"
,2023-07-11,Dennis j Robertson - 565,"$45,214,470,000,000,000.00",,"$44,226,901,211,000,000.00"
,2023-07-11,BBLGB - 566,"$41,325,000,000,000.00",,"$44,268,226,211,000,000.00"
,2023-07-11,Dennis j Robertson - Payment for Invoice #565,,"$45,214,470,000,000,000.00","-$946,243,789,000,000.00"
,2023-07-11,BBLGB - Payment for Invoice #566,,"$41,325,000,000,000.00","-$987,568,789,000,000.00"
,2023-07-11,BBLGB - 567,"$5,386,320,000,000,000.00",,"$4,398,751,211,000,000.00"
,2023-07-11,BBLGB - Payment for Invoice #567,,"$5,386,320,000,000,000.00","-$987,568,789,000,000.00"
,2023-07-11,Dennis j Robertson - 568,"$4,331,325,000,000,000.00",,"$3,343,756,211,000,000.00"
,2023-07-11,Dennis j Robertson - Payment for Invoice #568,,"$4,331,325,000,000,000.00","-$987,568,789,000,000.00"
,2023-07-11,BBLGB - 569,"$67,619,370,000,000,000.00",,"$66,631,801,211,000,000.00"
,2023-07-11,BBLGB - Payment for Invoice #569,,"$67,619,370,000,000,000.00","-$987,568,789,000,000.00"
,2023-07-11,Dennis j Robertson - 570,"$408,825,000,000,000.00",,"-$578,743,789,000,000.00"
,2023-07-11,Dennis j Robertson - Payment for Invoice #570,,$0.00,"-$578,743,789,000,000.00"
,2023-07-11,Dennis j Robertson - Payment for Invoice #570,,"$90,000,000,000,000,000.00","-$90,578,743,789,000,000.00"
,2023-07-11,BBLGB - 571,"$5,082,075,000,000,000.00",,"-$85,496,668,789,000,000.00"
,2023-07-11,BBLGB - Payment for Invoice #571,,"$5,082,075,000,000,000.00","-$90,578,743,789,000,000.00"
,2023-07-12,Dennis j Robertson - 572,"$45,214,470,000,000,000.00",,"-$45,364,273,789,000,000.00"
,2023-07-12,Dennis j Robertson - 573,"$408,825,000,000,000.00",,"-$44,955,448,789,000,000.00"
,2023-07-13,Dennis j Robertson - 574,"$45,214,470,000,000,000.00",,"$259,021,211,000,000.00"
,2023-07-13,Dennis j Robertson - 575,"$408,825,000,000,000.00",,"$667,846,211,000,000.00"
,2023-07-13,Dennis j Robertson - Payment for Invoice #575,,"$408,825,000,000,000.00","$259,021,211,000,000.00"
,2023-07-13,Dennis j Robertson - Payment for Invoice #574,,"$45,214,470,000,000,000.00","-$44,955,448,789,000,000.00"
,2023-07-13,Dennis j Robertson - Payment for Invoice #573,,"$408,825,000,000,000.00","-$45,364,273,789,000,000.00"
,2023-07-13,Dennis j Robertson - Payment for Invoice #572,,"$45,214,470,000,000,000.00","-$90,578,743,789,000,000.00"
,2023-07-13,Dennis j Robertson - 576,"$5,416,650,000,000,000.00",,"-$85,162,093,789,000,000.00"
,2023-07-13,Dennis j Robertson - Payment for Invoice #576,,"$5,416,650,000,000,000.00","-$90,578,743,789,000,000.00"
,2023-07-13,Dennis j Robertson - Payment for Invoice #576,,"$9,888,980,800,000.00","-$90,588,632,769,800,000.00"
,2023-07-14,Dennis j Robertson - 577,"$74,332,650,000,000,000.00",,"-$16,255,982,769,800,000.00"
,2023-07-14,Dennis j Robertson - Payment for Invoice #577,,"$74,332,650,000,000,000.00","-$90,588,632,769,800,000.00"
,2023-07-14,Dennis j Robertson - 578,"$45,214,470,000,000,000.00",,"-$45,374,162,769,800,000.00"
,2023-07-14,Dennis j Robertson - 579,"$408,825,000,000,000.00",,"-$44,965,337,769,800,000.00"
,2023-07-14,Write a Description,,"$98,750,000,000.00","-$44,965,436,519,800,000.00"
,2023-07-14,Bestlife - 580,"$80,275,815,000,000,000.00",,"$35,310,378,480,200,000.00"
,2023-07-14,Bestlife - Payment for Invoice #580,,"$80,275,815,000,000,000.00","-$44,965,436,519,800,000.00"
,2023-07-14,Bestlife - 581,"$80,275,815,000,000,000.00",,"$35,310,378,480,200,000.00"
,2023-07-14,Bestlife - Payment for Invoice #581,,"$80,275,815,000,000,000.00","-$44,965,436,519,800,000.00"
,2023-07-15,Dennis j Robertson - 582,"$408,825,000,000,000.00",,"-$44,556,611,519,800,000.00"
,2023-07-15,Dennis j Robertson - 583,"$45,214,470,000,000,000.00",,"$657,858,480,200,000.00"
,2023-07-15,Dennis j Robertson - Payment for Invoice #583,,"$45,214,470,000,000,000.00","-$44,556,611,519,800,000.00"
,2023-07-15,Dennis j Robertson - Payment for Invoice #578,,"$45,214,371,250,000,000.00","-$89,770,982,769,800,000.00"
,2023-07-15,Dennis j Robertson - Payment for Invoice #579,,"$408,825,000,000,000.00","-$90,179,807,769,800,000.00"
,2023-07-15,Dennis j Robertson - Payment for Invoice #582,,"$408,825,000,000,000.00","-$90,588,632,769,800,000.00"
,2023-07-15,BBLGB - 584,"$79,999,290,000,000,000.00",,"-$10,589,342,769,800,000.00"
,2023-07-15,Dennis j Robertson - 585,"$7,990,290,000,000,000.00",,"-$2,599,052,769,800,000.00"
,2023-07-15,Dennis j Robertson - Payment for Invoice #585,,"$7,990,290,000,000,000.00","-$10,589,342,769,800,000.00"
,2023-07-15,BBLGB - Payment for Invoice #584,,"$79,999,290,000,000,000.00","-$90,588,632,769,800,000.00"
,2023-07-15,Direct deposit ,,"$90,000,000,000.00","-$90,588,722,769,800,000.00"
,2023-07-16,Dennis j Robertson - 586,"$45,214,470,000,000,000.00",,"-$45,374,252,769,800,000.00"
,2023-07-16,Dennis j Robertson - 587,"$408,825,000,000,000.00",,"-$44,965,427,769,800,000.00"
,2023-07-16,Dennis j Robertson - Payment for Invoice #587,,"$408,825,000,000,000.00","-$45,374,252,769,800,000.00"
,2023-07-16,Dennis j Robertson - Payment for Invoice #586,,"$45,214,470,000,000,000.00","-$90,588,722,769,800,000.00"
,2023-07-17,Dennis j Robertson - 588,"$45,214,470,000,000,000.00",,"-$45,374,252,769,800,000.00"
,2023-07-17,Dennis j Robertson - 589,"$408,825,000,000,000.00",,"-$44,965,427,769,800,000.00"
,2023-07-18,Dennis j Robertson - Payment for Invoice #589,,"$408,825,000,000,000.00","-$45,374,252,769,800,000.00"
,2023-07-18,Dennis j Robertson - Payment for Invoice #588,,"$45,214,470,000,000,000.00","-$90,588,722,769,800,000.00"
,2023-07-18,Dennis j Robertson - 590,"$45,214,470,000,000,000.00",,"-$45,374,252,769,800,000.00"
,2023-07-18,Dennis j Robertson - 591,"$408,825,000,000,000.00",,"-$44,965,427,769,800,000.00"
,2023-07-19,Dennis j Robertson - 592,"$45,214,470,000,000,000.00",,"$249,042,230,200,000.00"
,2023-07-19,Dennis j Robertson - 593,"$408,825,000,000,000.00",,"$657,867,230,200,000.00"
,2023-07-19,Dennis j Robertson - Payment for Invoice #592,,"$45,214,380,000,000,000.00","-$44,556,512,769,800,000.00"
,2023-07-19,Dennis j Robertson - Payment for Invoice #593,,"$408,825,000,000,000.00","-$44,965,337,769,800,000.00"
,2023-07-19,Dennis j Robertson - Payment for Invoice #591,,"$408,825,000,000,000.00","-$45,374,162,769,800,000.00"
,2023-07-19,Dennis j Robertson - Payment for Invoice #590,,"$45,214,470,000,000,000.00","-$90,588,632,769,800,000.00"
,2023-07-20,Dennis j Robertson - 594,"$45,214,470,000,000,000.00",,"-$45,374,162,769,800,000.00"
,2023-07-20,Dennis j Robertson - 595,"$408,825,000,000,000.00",,"-$44,965,337,769,800,000.00"
,2023-07-20,Dennis j Robertson - Payment for Invoice #594,,"$45,214,470,000,000,000.00","-$90,179,807,769,800,000.00"
,2023-07-20,Dennis j Robertson - Payment for Invoice #595,,"$408,825,000,000,000.00","-$90,588,632,769,800,000.00"
,2023-07-21,Dennis j Robertson - 596,"$45,214,470,000,000,000.00",,"-$45,374,162,769,800,000.00"
,2023-07-21,Dennis j Robertson - 597,"$408,825,000,000,000.00",,"-$44,965,337,769,800,000.00"
,2023-07-22,Dennis j Robertson - 598,"$45,214,470,000,000,000.00",,"$249,132,230,200,000.00"
,2023-07-22,Dennis j Robertson - 599,"$408,825,000,000,000.00",,"$657,957,230,200,000.00"
,2023-07-23,Dennis j Robertson - 600,"$45,214,470,000,000,000.00",,"$45,872,427,230,200,000.00"
,2023-07-23,Dennis j Robertson - 601,"$408,825,000,000,000.00",,"$46,281,252,230,200,000.00"
,2023-07-24,Dennis j Robertson - 602,"$45,214,470,000,000,000.00",,"$91,495,722,230,200,000.00"
,2023-07-24,Dennis j Robertson - 603,"$408,825,000,000,000.00",,"$91,904,547,230,200,000.00"
,2023-07-25,Dennis j Robertson - 604,"$408,825,000,000,000.00",,"$92,313,372,230,200,000.00"
,2023-07-25,Dennis j Robertson - 605,"$45,214,470,000,000,000.00",,"$137,527,842,230,200,000.00"
,2023-07-25,Dennis j Robertson - Payment for Invoice #605,,"$45,214,470,000,000,000.00","$92,313,372,230,200,000.00"
,2023-07-25,Dennis j Robertson - Payment for Invoice #596,,"$45,214,451,301,000,000.00","$47,098,920,929,200,000.00"
,2023-07-25,Dennis j Robertson - Payment for Invoice #597,,"$408,825,000,000,000.00","$46,690,095,929,200,000.00"
,2023-07-25,Dennis j Robertson - Payment for Invoice #598,,"$45,214,470,000,000,000.00","$1,475,625,929,200,000.00"
,2023-07-25,Dennis j Robertson - Payment for Invoice #599,,"$408,825,000,000,000.00","$1,066,800,929,200,000.00"
,2023-07-25,Dennis j Robertson - Payment for Invoice #600,,"$45,214,470,000,000,000.00","-$44,147,669,070,800,000.00"
,2023-07-25,Dennis j Robertson - Payment for Invoice #601,,"$408,825,000,000,000.00","-$44,556,494,070,800,000.00"
,2023-07-25,Dennis j Robertson - Payment for Invoice #602,,"$45,214,470,000,000,000.00","-$89,770,964,070,800,000.00"
,2023-07-25,Dennis j Robertson - Payment for Invoice #603,,"$408,825,000,000,000.00","-$90,179,789,070,800,000.00"
,2023-07-26,Dennis j Robertson - 606,"$45,214,470,000,000,000.00",,"-$44,965,319,070,800,000.00"
,2023-07-26,Dennis j Robertson - 607,"$408,825,000,000,000.00",,"-$44,556,494,070,800,000.00"
,2023-07-27,Dennis j Robertson - 608,"$45,214,470,000,000,000.00",,"$657,975,929,200,000.00"
,2023-07-27,Dennis j Robertson - 609,"$408,825,000,000,000.00",,"$1,066,800,929,200,000.00"
,2023-07-28,Dennis j Robertson - 610,"$45,214,470,000,000,000.00",,"$46,281,270,929,200,000.00"
,2023-07-28,Dennis j Robertson - 611,"$408,825,000,000,000.00",,"$46,690,095,929,200,000.00"
,2023-07-29,Dennis j Robertson - 612,"$45,214,470,000,000,000.00",,"$91,904,565,929,200,000.00"
,2023-07-29,Dennis j Robertson - 613,"$408,825,000,000,000.00",,"$92,313,390,929,200,000.00"
,2023-07-30,Dennis j Robertson - 614,"$45,214,470,000,000,000.00",,"$137,527,860,929,200,000.00"
,2023-07-30,Dennis j Robertson - 615,"$408,825,000,000,000.00",,"$137,936,685,929,200,000.00"
,2023-07-31,Dennis j Robertson - 616,"$45,214,470,000,000,000.00",,"$183,151,155,929,200,000.00"
,2023-07-31,Dennis j Robertson - 617,"$408,825,000,000,000.00",,"$183,559,980,929,200,000.00"
,2023-08-01,Dennis j Robertson - 618,"$45,214,470,000,000,000.00",,"$228,774,450,929,200,000.00"
,2023-08-01,Dennis j Robertson - 619,"$408,825,000,000,000.00",,"$229,183,275,929,200,000.00"
,2023-08-02,Dennis j Robertson - 620,"$45,214,470,000,000,000.00",,"$274,397,745,929,200,000.00"
,2023-08-02,Dennis j Robertson - 621,"$408,825,000,000,000.00",,"$274,806,570,929,200,000.00"
,2023-08-02,Bestlife - Payment for Invoice #580,,"$900,000,000,000,000.00","$273,906,570,929,200,000.00"
,2023-08-02,Bestlife - Payment for Invoice #580,"$900,000,000,000,000.00",,"$274,806,570,929,200,000.00"
,2023-08-02,Dennis j Robertson - Payment for Invoice #604,,"$408,824,910,000,000.00","$274,397,746,019,200,000.00"
,2023-08-02,Dennis j Robertson - Payment for Invoice #606,,"$45,214,470,000,000,000.00","$229,183,276,019,200,000.00"
,2023-08-02,Dennis j Robertson - Payment for Invoice #607,,"$408,825,000,000,000.00","$228,774,451,019,200,000.00"
,2023-08-02,Dennis j Robertson - Payment for Invoice #608,,"$45,214,470,000,000,000.00","$183,559,981,019,200,000.00"
,2023-08-02,Dennis j Robertson - Payment for Invoice #609,,"$408,825,000,000,000.00","$183,151,156,019,200,000.00"
